name,gradient,lat,long,elevation
PanocheHills,1,36.70000998,-120.801116,656.320862
Cuyama,2,34.85521998,-119.48851,806.83429
TejonRanch,3,34.875994,-118.60246,1118.022
Barstow,4,35.094051,-116.8349,496.02
HeartofMojave,5,34.698199,-115.684169,784.73
SheepholeValley,6,34.205676,-115.719676,545.92
Tecopa,7,35.85151504,-116.186706,699.456665
