"","Gradient","PET"
"PanocheHills",2584,1486
"Cuyama",4201,1290
"TejonRanch",2477,1231
"Barstow",482,1637
"HeartofMojave",865,1559
"SheepholeValley",655,1664
"Tecopa",459,1676
