From,To,Strength
S.barbatus,P.insularis,-0.120136162
S.barbatus,M.glabrata,-0.082019545
S.barbatus,C.fremontii,-0.096801444
S.barbatus,C.intermedia,0.055760836
S.barbatus,M.bellioides,-0.070124227
S.barbatus,B.nigra,0.062851701
S.barbatus,E.wallacei,-0.107346817
S.barbatus,N.demissum,-0.050766182
S.barbatus,L.gracilis,0.200666647
S.barbatus,A.tessellata,0.006341406
S.barbatus,A.grandiflora,-0.074364567
S.barbatus,O.deltoides,0.045302602
S.barbatus,Boraginaceae.sp.,0.0944067
S.barbatus,P.secunda,-0.056113628
S.barbatus,E.glyptosperma,-0.08904219
S.barbatus,B.diandrus,0.001848494
S.barbatus,M.affinis,0.041928009
S.barbatus,L.sparsiflorus,-0.044513598
S.barbatus,C.cheiranthifolia,0.095461605
S.barbatus,P.crenulata,-0.039631034
S.barbatus,S.columbariae,-0.02485668
S.barbatus,Erinoginum.spp,0.001934438
S.barbatus,E.nitidum,-0.072226808
S.barbatus,R.neomexicana,-0.039631063
S.barbatus,C.lasiophyllus,0.059839494
C.barbigera,B.rubens,-0.317113078
C.barbigera,E.cicutarium,-0.114342408
C.barbigera,A.wrangelianus,-0.082149481
C.barbigera,S.barbatus,0.277320521
C.barbigera,C.barbigera,1
C.barbigera,C.claviformis,0.197951112
C.barbigera,A.lentiginosus,0.069983201
C.barbigera,L.arizonicus,-0.037585659
C.barbigera,C.rigida,0.075288337
C.barbigera,H.vulgare,-0.039539705
C.barbigera,P.tanacetifolia,-0.07824858
C.barbigera,Pectocarya.spp,0.027873548
C.barbigera,M.lanceolata,0.074542309
C.barbigera,D.capitatum,0.145208919
C.barbigera,C.brevipes,0.033376826
C.barbigera,L.decorus,-0.001427732
C.barbigera,P.insularis,0.146511642
C.barbigera,M.glabrata,0.030066183
C.barbigera,C.fremontii,-0.03715633
C.barbigera,C.intermedia,0.022077403
C.barbigera,M.bellioides,0.045577587
C.barbigera,B.nigra,-0.034799769
C.barbigera,E.wallacei,-0.01440832
C.barbigera,N.demissum,0.043599494
C.barbigera,L.gracilis,0.039940606
C.barbigera,A.tessellata,-0.054657294
C.barbigera,A.grandiflora,-0.016506836
C.barbigera,O.deltoides,0.056491286
C.barbigera,Boraginaceae.sp.,0.005067954
C.barbigera,P.secunda,-0.039539719
C.barbigera,E.glyptosperma,0.003031628
C.barbigera,B.diandrus,-0.048483844
C.barbigera,M.affinis,-0.06584388
C.barbigera,L.sparsiflorus,0.031937366
C.barbigera,C.cheiranthifolia,-0.039539691
C.barbigera,P.crenulata,-0.027925479
C.barbigera,S.columbariae,0.071131655
C.barbigera,Erinoginum.spp,0.051252256
C.barbigera,E.nitidum,-0.060451341
C.barbigera,R.neomexicana,-0.027925499
C.barbigera,C.lasiophyllus,0.031097662
C.claviformis,B.rubens,-0.167274499
C.claviformis,E.cicutarium,-0.104119913
C.claviformis,A.wrangelianus,-0.034176997
C.claviformis,S.barbatus,0.006244367
C.claviformis,C.barbigera,0.197951112
C.claviformis,C.claviformis,1
C.claviformis,A.lentiginosus,0.13386194
C.claviformis,L.arizonicus,0.025178224
C.claviformis,C.rigida,-0.02981556
C.claviformis,H.vulgare,-0.016449871
C.claviformis,P.tanacetifolia,-0.017568269
C.claviformis,Pectocarya.spp,0.108709456
C.claviformis,M.lanceolata,-0.008210244
C.claviformis,D.capitatum,-0.021800194
C.claviformis,C.brevipes,-0.039896899
C.claviformis,L.decorus,-0.026102848
C.claviformis,P.insularis,0.204169362
C.claviformis,M.glabrata,-0.036989267
C.claviformis,C.fremontii,-0.016706843
C.claviformis,C.intermedia,0.187533701
C.claviformis,M.bellioides,0.187598166
C.claviformis,B.nigra,-0.039896621
C.claviformis,E.wallacei,0.049832463
C.claviformis,N.demissum,0.028103497
C.claviformis,L.gracilis,-0.093433802
C.claviformis,A.tessellata,-0.040779588
C.claviformis,A.grandiflora,-0.021800194
C.claviformis,O.deltoides,-0.008210244
C.claviformis,Boraginaceae.sp.,-0.020170944
C.claviformis,P.secunda,-0.016449877
C.claviformis,E.glyptosperma,0.02112049
C.claviformis,B.diandrus,-0.020170939
C.claviformis,M.affinis,-0.027393309
C.claviformis,L.sparsiflorus,-0.02331926
C.claviformis,C.cheiranthifolia,-0.016449865
C.claviformis,P.crenulata,-0.011617956
C.claviformis,S.columbariae,-0.014237512
C.claviformis,Erinoginum.spp,-0.02017103
C.claviformis,E.nitidum,-0.034176924
C.claviformis,R.neomexicana,-0.011617964
C.claviformis,C.lasiophyllus,-0.011617956
A.lentiginosus,B.rubens,-0.025144658
A.lentiginosus,E.cicutarium,0.035985271
A.lentiginosus,A.wrangelianus,0.111849012
A.lentiginosus,S.barbatus,-0.00051369
A.lentiginosus,C.barbigera,0.069983201
A.lentiginosus,C.claviformis,0.13386194
A.lentiginosus,A.lentiginosus,1
A.lentiginosus,L.arizonicus,-0.013548131
A.lentiginosus,C.rigida,-0.016321763
A.lentiginosus,H.vulgare,-0.009005059
A.lentiginosus,P.tanacetifolia,-0.025048669
A.lentiginosus,Pectocarya.spp,0.041360547
A.lentiginosus,M.lanceolata,-0.004494487
A.lentiginosus,D.capitatum,-0.011933956
A.lentiginosus,C.brevipes,-0.021840533
A.lentiginosus,L.decorus,-0.014289334
A.lentiginosus,P.insularis,0.151971003
A.lentiginosus,M.glabrata,-0.032033378
A.lentiginosus,C.fremontii,-0.01686109
A.lentiginosus,C.intermedia,-0.032383909
A.lentiginosus,M.bellioides,0.076021021
A.lentiginosus,B.nigra,-0.02184038
A.lentiginosus,E.wallacei,-0.022797854
A.lentiginosus,N.demissum,-0.013548027
A.lentiginosus,L.gracilis,-0.051147935
A.lentiginosus,A.tessellata,-0.022323738
A.lentiginosus,A.grandiflora,-0.011933956
A.lentiginosus,O.deltoides,-0.004494487
A.lentiginosus,Boraginaceae.sp.,-0.011042065
A.lentiginosus,P.secunda,-0.009005063
A.lentiginosus,E.glyptosperma,-0.014289408
A.lentiginosus,B.diandrus,-0.011042063
A.lentiginosus,M.affinis,-0.014995763
A.lentiginosus,L.sparsiflorus,-0.01276553
A.lentiginosus,C.cheiranthifolia,-0.009005056
A.lentiginosus,P.crenulata,-0.006359951
A.lentiginosus,S.columbariae,-0.00779396
A.lentiginosus,Erinoginum.spp,-0.011042113
A.lentiginosus,E.nitidum,-0.018709279
A.lentiginosus,R.neomexicana,-0.006359956
A.lentiginosus,C.lasiophyllus,-0.006359951
L.arizonicus,B.rubens,-0.073199979
L.arizonicus,E.cicutarium,-0.064603761
L.arizonicus,A.wrangelianus,-0.014955988
L.arizonicus,S.barbatus,-0.084423039
L.arizonicus,C.barbigera,-0.037585659
L.arizonicus,C.claviformis,0.025178224
L.arizonicus,A.lentiginosus,-0.013548131
L.arizonicus,L.arizonicus,1
L.arizonicus,C.rigida,-0.013047406
L.arizonicus,H.vulgare,-0.007198528
L.arizonicus,P.tanacetifolia,-0.020023583
L.arizonicus,Pectocarya.spp,-0.02725826
L.arizonicus,M.lanceolata,-0.003592835
L.arizonicus,D.capitatum,-0.009539851
L.arizonicus,C.brevipes,-0.01745904
L.arizonicus,L.decorus,-0.011422709
L.arizonicus,P.insularis,0.005920216
L.arizonicus,M.glabrata,0.119326911
L.arizonicus,C.fremontii,0.000982863
L.arizonicus,C.intermedia,-0.025887279
L.arizonicus,M.bellioides,-0.010830118
L.arizonicus,B.nigra,-0.017458918
L.arizonicus,E.wallacei,-0.01822431
L.arizonicus,N.demissum,-0.010830118
L.arizonicus,L.gracilis,-0.040886999
L.arizonicus,A.tessellata,-0.017845308
L.arizonicus,A.grandiflora,-0.009539851
L.arizonicus,O.deltoides,-0.003592835
L.arizonicus,Boraginaceae.sp.,-0.008826885
L.arizonicus,P.secunda,-0.007198531
L.arizonicus,E.glyptosperma,-0.011422768
L.arizonicus,B.diandrus,-0.008826882
L.arizonicus,M.affinis,-0.01198742
L.arizonicus,L.sparsiflorus,-0.0102046
L.arizonicus,C.cheiranthifolia,-0.007198526
L.arizonicus,P.crenulata,-0.005084063
L.arizonicus,S.columbariae,-0.006230391
L.arizonicus,Erinoginum.spp,-0.008826922
L.arizonicus,E.nitidum,-0.014955957
L.arizonicus,R.neomexicana,-0.005084067
L.arizonicus,C.lasiophyllus,-0.005084063
C.rigida,B.rubens,-0.075002832
C.rigida,E.cicutarium,-0.044626621
C.rigida,A.wrangelianus,-0.018017843
C.rigida,S.barbatus,0.057232947
C.rigida,C.barbigera,0.075288337
C.rigida,C.claviformis,-0.02981556
C.rigida,A.lentiginosus,-0.016321763
C.rigida,L.arizonicus,-0.013047406
C.rigida,C.rigida,1
C.rigida,H.vulgare,-0.008672242
C.rigida,P.tanacetifolia,-0.024122898
C.rigida,Pectocarya.spp,0.004454563
C.rigida,M.lanceolata,-0.004328376
C.rigida,D.capitatum,-0.01149289
C.rigida,C.brevipes,-0.02103333
C.rigida,L.decorus,-0.013761216
C.rigida,P.insularis,0.090554096
C.rigida,M.glabrata,0.009252013
C.rigida,C.fremontii,-0.043073954
C.rigida,C.intermedia,-0.031187036
C.rigida,M.bellioides,0.175185184
C.rigida,B.nigra,-0.021033184
C.rigida,E.wallacei,-0.02195527
C.rigida,N.demissum,0.081068939
C.rigida,L.gracilis,-0.049257563
C.rigida,A.tessellata,-0.021498677
C.rigida,A.grandiflora,-0.01149289
C.rigida,O.deltoides,-0.004328376
C.rigida,Boraginaceae.sp.,0.103068449
C.rigida,P.secunda,-0.008672245
C.rigida,E.glyptosperma,0.164387769
C.rigida,B.diandrus,-0.01063396
C.rigida,M.affinis,-0.014441536
C.rigida,L.sparsiflorus,-0.01229373
C.rigida,C.cheiranthifolia,-0.008672239
C.rigida,P.crenulata,-0.006124895
C.rigida,S.columbariae,-0.007505904
C.rigida,Erinoginum.spp,-0.010634008
C.rigida,E.nitidum,-0.018017805
C.rigida,R.neomexicana,-0.006124899
C.rigida,C.lasiophyllus,-0.006124895
H.vulgare,B.rubens,0.135010973
H.vulgare,E.cicutarium,-0.042940294
H.vulgare,A.wrangelianus,-0.009940823
H.vulgare,S.barbatus,-0.056113608
H.vulgare,C.barbigera,-0.039539705
H.vulgare,C.claviformis,-0.016449871
H.vulgare,A.lentiginosus,-0.009005059
H.vulgare,L.arizonicus,-0.007198528
H.vulgare,C.rigida,-0.008672242
H.vulgare,H.vulgare,1
H.vulgare,P.tanacetifolia,-0.01330911
H.vulgare,Pectocarya.spp,-0.018117795
H.vulgare,M.lanceolata,-0.002388056
H.vulgare,D.capitatum,-0.006340869
H.vulgare,C.brevipes,-0.01160453
H.vulgare,L.decorus,-0.007592352
H.vulgare,P.insularis,-0.021470544
H.vulgare,M.glabrata,-0.017020295
H.vulgare,C.fremontii,-0.023764806
H.vulgare,C.intermedia,-0.017206543
H.vulgare,M.bellioides,-0.007198473
H.vulgare,B.nigra,-0.01160445
H.vulgare,E.wallacei,-0.012113184
H.vulgare,N.demissum,-0.007198473
H.vulgare,L.gracilis,-0.027176433
H.vulgare,A.tessellata,-0.011861272
H.vulgare,A.grandiflora,-0.006340869
H.vulgare,O.deltoides,-0.002388056
H.vulgare,Boraginaceae.sp.,-0.005866981
H.vulgare,P.secunda,-0.00478466
H.vulgare,E.glyptosperma,-0.007592391
H.vulgare,B.diandrus,-0.005866979
H.vulgare,M.affinis,-0.007967699
H.vulgare,L.sparsiflorus,-0.006782709
H.vulgare,C.cheiranthifolia,-0.004784657
H.vulgare,P.crenulata,-0.003379233
H.vulgare,S.columbariae,-0.004141165
H.vulgare,Erinoginum.spp,-0.005867006
H.vulgare,E.nitidum,-0.009940802
H.vulgare,R.neomexicana,-0.003379235
H.vulgare,C.lasiophyllus,-0.003379233
P.tanacetifolia,B.rubens,0.10240212
P.tanacetifolia,E.cicutarium,-0.018053352
P.tanacetifolia,A.wrangelianus,-0.027651609
P.tanacetifolia,S.barbatus,-0.148326709
P.tanacetifolia,C.barbigera,-0.07824858
P.tanacetifolia,C.claviformis,-0.017568269
P.tanacetifolia,A.lentiginosus,-0.025048669
P.tanacetifolia,L.arizonicus,-0.020023583
P.tanacetifolia,C.rigida,-0.024122898
P.tanacetifolia,H.vulgare,-0.01330911
P.tanacetifolia,P.tanacetifolia,1
P.tanacetifolia,Pectocarya.spp,-0.050396852
P.tanacetifolia,M.lanceolata,-0.006642668
P.tanacetifolia,D.capitatum,-0.0176379
P.tanacetifolia,C.brevipes,-0.032279414
P.tanacetifolia,L.decorus,-0.021119051
P.tanacetifolia,P.insularis,-0.059722934
P.tanacetifolia,M.glabrata,-0.047344024
P.tanacetifolia,C.fremontii,-0.066104701
P.tanacetifolia,C.intermedia,-0.047862095
P.tanacetifolia,M.bellioides,-0.02002343
P.tanacetifolia,B.nigra,-0.03227919
P.tanacetifolia,E.wallacei,-0.033694296
P.tanacetifolia,N.demissum,-0.02002343
P.tanacetifolia,L.gracilis,-0.006587101
P.tanacetifolia,A.tessellata,-0.032993572
P.tanacetifolia,A.grandiflora,-0.0176379
P.tanacetifolia,O.deltoides,-0.006642668
P.tanacetifolia,Boraginaceae.sp.,-0.016319721
P.tanacetifolia,P.secunda,0.175017497
P.tanacetifolia,E.glyptosperma,-0.02111916
P.tanacetifolia,B.diandrus,-0.016319717
P.tanacetifolia,M.affinis,-0.022163125
P.tanacetifolia,L.sparsiflorus,-0.018866932
P.tanacetifolia,C.cheiranthifolia,-0.013309105
P.tanacetifolia,P.crenulata,-0.009399748
P.tanacetifolia,S.columbariae,-0.011519155
P.tanacetifolia,Erinoginum.spp,-0.016319791
P.tanacetifolia,E.nitidum,-0.02765155
P.tanacetifolia,R.neomexicana,-0.009399755
P.tanacetifolia,C.lasiophyllus,-0.009399748
Pectocarya.spp,B.rubens,-0.173853902
Pectocarya.spp,E.cicutarium,-0.11274231
Pectocarya.spp,A.wrangelianus,-0.037642351
Pectocarya.spp,S.barbatus,-0.017839898
Pectocarya.spp,C.barbigera,0.027873548
Pectocarya.spp,C.claviformis,0.108709456
Pectocarya.spp,A.lentiginosus,0.041360547
Pectocarya.spp,L.arizonicus,-0.02725826
Pectocarya.spp,C.rigida,0.004454563
Pectocarya.spp,H.vulgare,-0.018117795
Pectocarya.spp,P.tanacetifolia,-0.050396852
Pectocarya.spp,Pectocarya.spp,1
Pectocarya.spp,M.lanceolata,-0.009042716
Pectocarya.spp,D.capitatum,-0.02401061
Pectocarya.spp,C.brevipes,0.105021808
Pectocarya.spp,L.decorus,0.063896588
Pectocarya.spp,P.insularis,0.178061422
Pectocarya.spp,M.glabrata,-0.044401584
Pectocarya.spp,C.fremontii,0.18059708
Pectocarya.spp,C.intermedia,0.000529621
Pectocarya.spp,M.bellioides,0.017562694
Pectocarya.spp,B.nigra,-0.043941912
Pectocarya.spp,E.wallacei,0.067061811
Pectocarya.spp,N.demissum,-0.027258051
Pectocarya.spp,L.gracilis,-0.043711237
Pectocarya.spp,A.tessellata,-0.044914406
Pectocarya.spp,A.grandiflora,-0.02401061
Pectocarya.spp,O.deltoides,-0.009042716
Pectocarya.spp,Boraginaceae.sp.,-0.022216163
Pectocarya.spp,P.secunda,-0.018117801
Pectocarya.spp,E.glyptosperma,0.019076767
Pectocarya.spp,B.diandrus,-0.022216158
Pectocarya.spp,M.affinis,-0.030170835
Pectocarya.spp,L.sparsiflorus,-0.025683701
Pectocarya.spp,C.cheiranthifolia,-0.018117788
Pectocarya.spp,P.crenulata,-0.01279595
Pectocarya.spp,S.columbariae,-0.015681115
Pectocarya.spp,Erinoginum.spp,-0.022216258
Pectocarya.spp,E.nitidum,0.13793262
Pectocarya.spp,R.neomexicana,0.09205982
Pectocarya.spp,C.lasiophyllus,-0.01279595
M.lanceolata,B.rubens,-0.024283525
M.lanceolata,E.cicutarium,0.059741131
M.lanceolata,A.wrangelianus,-0.004961533
M.lanceolata,S.barbatus,-0.028006688
M.lanceolata,C.barbigera,0.074542309
M.lanceolata,C.claviformis,-0.008210244
M.lanceolata,A.lentiginosus,-0.004494487
M.lanceolata,L.arizonicus,-0.003592835
M.lanceolata,C.rigida,-0.004328376
M.lanceolata,H.vulgare,-0.002388056
M.lanceolata,P.tanacetifolia,-0.006642668
M.lanceolata,Pectocarya.spp,-0.009042716
M.lanceolata,M.lanceolata,1
M.lanceolata,D.capitatum,-0.003164771
M.lanceolata,C.brevipes,-0.005791901
M.lanceolata,L.decorus,-0.003789395
M.lanceolata,P.insularis,-0.010716096
M.lanceolata,M.glabrata,-0.008494946
M.lanceolata,C.fremontii,-0.011861178
M.lanceolata,C.intermedia,-0.008587904
M.lanceolata,M.bellioides,-0.003592808
M.lanceolata,B.nigra,-0.005791861
M.lanceolata,E.wallacei,-0.006045773
M.lanceolata,N.demissum,-0.003592808
M.lanceolata,L.gracilis,0.095667821
M.lanceolata,A.tessellata,-0.005920042
M.lanceolata,A.grandiflora,-0.003164771
M.lanceolata,O.deltoides,-0.001191895
M.lanceolata,Boraginaceae.sp.,-0.00292825
M.lanceolata,P.secunda,-0.002388057
M.lanceolata,E.glyptosperma,-0.003789415
M.lanceolata,B.diandrus,-0.00292825
M.lanceolata,M.affinis,-0.003976733
M.lanceolata,L.sparsiflorus,-0.003385297
M.lanceolata,C.cheiranthifolia,-0.002388055
M.lanceolata,P.crenulata,-0.001686598
M.lanceolata,S.columbariae,-0.002066884
M.lanceolata,Erinoginum.spp,-0.002928263
M.lanceolata,E.nitidum,-0.004961522
M.lanceolata,R.neomexicana,-0.0016866
M.lanceolata,C.lasiophyllus,-0.001686598
D.capitatum,B.rubens,-0.064478664
D.capitatum,E.cicutarium,0.148739707
D.capitatum,A.wrangelianus,-0.013174077
D.capitatum,S.barbatus,0.003611391
D.capitatum,C.barbigera,0.145208919
D.capitatum,C.claviformis,-0.021800194
D.capitatum,A.lentiginosus,-0.011933956
D.capitatum,L.arizonicus,-0.009539851
D.capitatum,C.rigida,-0.01149289
D.capitatum,H.vulgare,-0.006340869
D.capitatum,P.tanacetifolia,-0.0176379
D.capitatum,Pectocarya.spp,-0.02401061
D.capitatum,M.lanceolata,-0.003164771
D.capitatum,D.capitatum,1
D.capitatum,C.brevipes,0.067548466
D.capitatum,L.decorus,-0.010061765
D.capitatum,P.insularis,-0.028453842
D.capitatum,M.glabrata,-0.022556149
D.capitatum,C.fremontii,-0.031494312
D.capitatum,C.intermedia,-0.022802974
D.capitatum,M.bellioides,-0.009539778
D.capitatum,B.nigra,-0.015378798
D.capitatum,E.wallacei,-0.016052999
D.capitatum,N.demissum,-0.009539778
D.capitatum,L.gracilis,0.243128201
D.capitatum,A.tessellata,-0.015719152
D.capitatum,A.grandiflora,-0.008403238
D.capitatum,O.deltoides,-0.003164771
D.capitatum,Boraginaceae.sp.,-0.007775217
D.capitatum,P.secunda,-0.006340871
D.capitatum,E.glyptosperma,-0.010061817
D.capitatum,B.diandrus,-0.007775215
D.capitatum,M.affinis,-0.010559194
D.capitatum,L.sparsiflorus,-0.008988786
D.capitatum,C.cheiranthifolia,-0.006340867
D.capitatum,P.crenulata,-0.004478329
D.capitatum,S.columbariae,-0.00548808
D.capitatum,Erinoginum.spp,-0.00777525
D.capitatum,E.nitidum,-0.013174049
D.capitatum,R.neomexicana,-0.004478332
D.capitatum,C.lasiophyllus,-0.004478329
C.brevipes,B.rubens,-0.118003478
C.brevipes,E.cicutarium,0.091499007
C.brevipes,A.wrangelianus,-0.024110098
C.brevipes,S.barbatus,0.05908342
C.brevipes,C.barbigera,0.033376826
C.brevipes,C.claviformis,-0.039896899
C.brevipes,A.lentiginosus,-0.021840533
C.brevipes,L.arizonicus,-0.01745904
C.brevipes,C.rigida,-0.02103333
C.brevipes,H.vulgare,-0.01160453
C.brevipes,P.tanacetifolia,-0.032279414
C.brevipes,Pectocarya.spp,0.105021808
C.brevipes,M.lanceolata,-0.005791901
C.brevipes,D.capitatum,0.067548466
C.brevipes,C.brevipes,1
C.brevipes,L.decorus,0.115688576
C.brevipes,P.insularis,-0.025699608
C.brevipes,M.glabrata,-0.009005601
C.brevipes,C.fremontii,0.014838263
C.brevipes,C.intermedia,0.020032273
C.brevipes,M.bellioides,-0.017458907
C.brevipes,B.nigra,-0.028144995
C.brevipes,E.wallacei,0.013124687
C.brevipes,N.demissum,-0.017458907
C.brevipes,L.gracilis,0.155446348
C.brevipes,A.tessellata,-0.028767883
C.brevipes,A.grandiflora,-0.015378906
C.brevipes,O.deltoides,-0.005791901
C.brevipes,Boraginaceae.sp.,-0.014229554
C.brevipes,P.secunda,-0.011604535
C.brevipes,E.glyptosperma,-0.0184143
C.brevipes,B.diandrus,-0.014229551
C.brevipes,M.affinis,-0.019324558
C.brevipes,L.sparsiflorus,-0.016450528
C.brevipes,C.cheiranthifolia,-0.011604526
C.brevipes,P.crenulata,-0.008195865
C.brevipes,S.columbariae,-0.010043826
C.brevipes,Erinoginum.spp,-0.014229615
C.brevipes,E.nitidum,0.078375122
C.brevipes,R.neomexicana,-0.008195871
C.brevipes,C.lasiophyllus,-0.008195865
L.decorus,B.rubens,-0.077204669
L.decorus,E.cicutarium,-0.000606078
L.decorus,A.wrangelianus,-0.015774214
L.decorus,S.barbatus,-0.061499693
L.decorus,C.barbigera,-0.001427732
L.decorus,C.claviformis,-0.026102848
L.decorus,A.lentiginosus,-0.014289334
L.decorus,L.arizonicus,-0.011422709
L.decorus,C.rigida,-0.013761216
L.decorus,H.vulgare,-0.007592352
L.decorus,P.tanacetifolia,-0.021119051
L.decorus,Pectocarya.spp,0.063896588
L.decorus,M.lanceolata,-0.003789395
L.decorus,D.capitatum,-0.010061765
L.decorus,C.brevipes,0.115688576
L.decorus,L.decorus,1
L.decorus,P.insularis,0.005382094
L.decorus,M.glabrata,-0.027008004
L.decorus,C.fremontii,0.077277709
L.decorus,C.intermedia,0.019167738
L.decorus,M.bellioides,-0.011422622
