From,To,Strength
B.rubens,B.rubens,1
B.rubens,E.cicutarium,0.430135726
B.rubens,A.wrangelianus,0.213882135
B.rubens,S.barbatus,-0.190404839
B.rubens,C.barbigera,-0.317113078
B.rubens,C.claviformis,-0.167274499
B.rubens,A.lentiginosus,-0.025144658
B.rubens,L.arizonicus,-0.073199979
B.rubens,C.rigida,-0.075002832
B.rubens,H.vulgare,0.135010973
B.rubens,P.tanacetifolia,0.10240212
B.rubens,Pectocarya.spp,-0.173853902
B.rubens,M.lanceolata,-0.024283525
B.rubens,D.capitatum,-0.064478664
B.rubens,C.brevipes,-0.118003478
B.rubens,L.decorus,-0.077204669
B.rubens,P.insularis,-0.218328432
B.rubens,M.glabrata,-0.161533572
B.rubens,C.fremontii,-0.241658181
B.rubens,C.intermedia,-0.05680913
B.rubens,M.bellioides,-0.07319942
B.rubens,B.nigra,0.171433926
B.rubens,E.wallacei,-0.123175844
B.rubens,N.demissum,-0.07319942
B.rubens,L.gracilis,0.036788336
B.rubens,A.tessellata,0.196270331
B.rubens,A.grandiflora,0.105789676
B.rubens,O.deltoides,0.024703655
B.rubens,Boraginaceae.sp.,0.043865298
B.rubens,P.secunda,0.048068046
B.rubens,E.glyptosperma,-0.077205068
B.rubens,B.diandrus,0.095641143
B.rubens,M.affinis,0.132450831
B.rubens,L.sparsiflorus,-0.039068577
B.rubens,C.cheiranthifolia,0.004459694
B.rubens,P.crenulata,-0.03436255
B.rubens,S.columbariae,-0.04211044
B.rubens,Erinoginum.spp,-0.059660069
B.rubens,E.nitidum,-0.101085449
B.rubens,R.neomexicana,-0.034362574
B.rubens,C.lasiophyllus,-0.03436255
E.cicutarium,B.rubens,0.430135726
E.cicutarium,E.cicutarium,1
E.cicutarium,A.wrangelianus,0.276478596
E.cicutarium,S.barbatus,-0.02606448
E.cicutarium,C.barbigera,-0.114342408
E.cicutarium,C.claviformis,-0.104119913
E.cicutarium,A.lentiginosus,0.035985271
E.cicutarium,L.arizonicus,-0.064603761
E.cicutarium,C.rigida,-0.044626621
E.cicutarium,H.vulgare,-0.042940294
E.cicutarium,P.tanacetifolia,-0.018053352
E.cicutarium,Pectocarya.spp,-0.11274231
E.cicutarium,M.lanceolata,0.059741131
E.cicutarium,D.capitatum,0.148739707
E.cicutarium,C.brevipes,0.091499007
E.cicutarium,L.decorus,-0.000606078
E.cicutarium,P.insularis,-0.116209799
E.cicutarium,M.glabrata,-0.152749983
E.cicutarium,C.fremontii,-0.18040891
E.cicutarium,C.intermedia,-0.059448549
E.cicutarium,M.bellioides,-0.007044441
E.cicutarium,B.nigra,0.033149741
E.cicutarium,E.wallacei,-0.097561944
E.cicutarium,N.demissum,-0.044665661
E.cicutarium,L.gracilis,0.368233337
E.cicutarium,A.tessellata,0.05807252
E.cicutarium,A.grandiflora,0.180417973
E.cicutarium,O.deltoides,-0.021431796
E.cicutarium,Boraginaceae.sp.,0.017436874
E.cicutarium,P.secunda,0.035477833
E.cicutarium,E.glyptosperma,-0.032818699
E.cicutarium,B.diandrus,0.035629635
E.cicutarium,M.affinis,0.027611128
E.cicutarium,L.sparsiflorus,-0.06087196
E.cicutarium,C.cheiranthifolia,0.019612429
E.cicutarium,P.crenulata,-0.030327194
E.cicutarium,S.columbariae,-0.037165213
E.cicutarium,Erinoginum.spp,-0.052653907
E.cicutarium,E.nitidum,-0.089214509
E.cicutarium,R.neomexicana,-0.030327215
E.cicutarium,C.lasiophyllus,-0.030327194
A.wrangelianus,B.rubens,0.213882135
A.wrangelianus,E.cicutarium,0.276478596
A.wrangelianus,A.wrangelianus,1
A.wrangelianus,S.barbatus,-0.093970612
A.wrangelianus,C.barbigera,-0.082149481
A.wrangelianus,C.claviformis,-0.034176997
A.wrangelianus,A.lentiginosus,0.111849012
A.wrangelianus,L.arizonicus,-0.014955988
A.wrangelianus,C.rigida,-0.018017843
A.wrangelianus,H.vulgare,-0.009940823
A.wrangelianus,P.tanacetifolia,-0.027651609
A.wrangelianus,Pectocarya.spp,-0.037642351
A.wrangelianus,M.lanceolata,-0.004961533
A.wrangelianus,D.capitatum,-0.013174077
A.wrangelianus,C.brevipes,-0.024110098
A.wrangelianus,L.decorus,-0.015774214
A.wrangelianus,P.insularis,-0.044608175
A.wrangelianus,M.glabrata,-0.035362136
A.wrangelianus,C.fremontii,-0.049374836
A.wrangelianus,C.intermedia,-0.035749093
A.wrangelianus,M.bellioides,-0.014955874
A.wrangelianus,B.nigra,-0.02410993
A.wrangelianus,E.wallacei,-0.025166899
A.wrangelianus,N.demissum,-0.014955874
A.wrangelianus,L.gracilis,-0.029311878
A.wrangelianus,A.tessellata,-0.024643515
A.wrangelianus,A.grandiflora,0.081147885
A.wrangelianus,O.deltoides,-0.004961533
A.wrangelianus,Boraginaceae.sp.,-0.012189505
A.wrangelianus,P.secunda,0.113149994
A.wrangelianus,E.glyptosperma,-0.015774295
A.wrangelianus,B.diandrus,-0.012189502
A.wrangelianus,M.affinis,-0.016554052
A.wrangelianus,L.sparsiflorus,-0.014092064
A.wrangelianus,C.cheiranthifolia,-0.009940819
A.wrangelianus,P.crenulata,-0.007020848
A.wrangelianus,S.columbariae,-0.008603872
A.wrangelianus,Erinoginum.spp,-0.012189557
A.wrangelianus,E.nitidum,-0.02065346
A.wrangelianus,R.neomexicana,-0.007020853
A.wrangelianus,C.lasiophyllus,-0.007020848
S.barbatus,B.rubens,-0.190404839
S.barbatus,E.cicutarium,-0.02606448
S.barbatus,A.wrangelianus,-0.093970612
S.barbatus,S.barbatus,1
S.barbatus,C.barbigera,0.277320521
S.barbatus,C.claviformis,0.006244367
S.barbatus,A.lentiginosus,-0.00051369
S.barbatus,L.arizonicus,-0.084423039
S.barbatus,C.rigida,0.057232947
S.barbatus,H.vulgare,-0.056113608
S.barbatus,P.tanacetifolia,-0.148326709
S.barbatus,Pectocarya.spp,-0.017839898
S.barbatus,M.lanceolata,-0.028006688
S.barbatus,D.capitatum,0.003611391
S.barbatus,C.brevipes,0.05908342
S.barbatus,L.decorus,-0.061499693
